Methods	Samples	Features	Effect size	Date types	Evaluation
edgeR	50	800	5	abundant	time
ALDEx2_wi	50	800	5	abundant	time
fastANCOM	50	800	5	abundant	time
DACOMP	50	800	5	abundant	time
ZicoSeq	50	800	5	abundant	time
limma_voom	50	800	5	abundant	time
DESeq2	50	800	5	abundant	time
Corncob	50	800	5	abundant	time
MaAsLin2	50	800	5	abundant	time
AAnew	100	800	5	abundant	time
wilcox	100	800	5	abundant	time
LinDA	100	800	5	abundant	time
MetagenomeSeq	100	800	5	abundant	time
LEfSe	100	800	5	abundant	time
edgeR	100	800	5	abundant	time
ALDEx2_wi	100	800	5	abundant	time
fastANCOM	100	800	5	abundant	time
DACOMP	100	800	5	abundant	time
ZicoSeq	100	800	5	abundant	time
limma_voom	100	800	5	abundant	time
DESeq2	100	800	5	abundant	time
Corncob	100	800	5	abundant	time
MaAsLin2	100	800	5	abundant	time
AAnew	200	800	5	abundant	time
wilcox	200	800	5	abundant	time
LinDA	200	800	5	abundant	time
MetagenomeSeq	200	800	5	abundant	time
LEfSe	200	800	5	abundant	time
edgeR	200	800	5	abundant	time
ALDEx2_wi	200	800	5	abundant	time
fastANCOM	200	800	5	abundant	time
DACOMP	200	800	5	abundant	time
ZicoSeq	200	800	5	abundant	time
limma_voom	200	800	5	abundant	time
DESeq2	200	800	5	abundant	time
Corncob	200	800	5	abundant	time
MaAsLin2	200	800	5	abundant	time
AAnew	300	800	5	abundant	time
wilcox	300	800	5	abundant	time
LinDA	300	800	5	abundant	time
MetagenomeSeq	300	800	5	abundant	time
LEfSe	300	800	5	abundant	time
edgeR	300	800	5	abundant	time
ALDEx2_wi	300	800	5	abundant	time
fastANCOM	300	800	5	abundant	time
DACOMP	300	800	5	abundant	time
ZicoSeq	300	800	5	abundant	time
limma_voom	300	800	5	abundant	time
DESeq2	300	800	5	abundant	time
Corncob	300	800	5	abundant	time
MaAsLin2	300	800	5	abundant	time
AAnew	500	800	5	abundant	time
wilcox	500	800	5	abundant	time
LinDA	500	800	5	abundant	time
MetagenomeSeq	500	800	5	abundant	time
LEfSe	500	800	5	abundant	time
edgeR	500	800	5	abundant	time
ALDEx2_wi	500	800	5	abundant	time
fastANCOM	500	800	5	abundant	time
DACOMP	500	800	5	abundant	time
ZicoSeq	500	800	5	abundant	time
limma_voom	500	800	5	abundant	time
DESeq2	500	800	5	abundant	time
Corncob	500	800	5	abundant	time
MaAsLin2	500	800	5	abundant	time
AAnew	20	800	10	abundant	time
wilcox	20	800	10	abundant	time
LinDA	20	800	10	abundant	time
MetagenomeSeq	20	800	10	abundant	time
LEfSe	20	800	10	abundant	time
edgeR	20	800	10	abundant	time
ALDEx2_wi	20	800	10	abundant	time
fastANCOM	20	800	10	abundant	time
DACOMP	20	800	10	abundant	time
ZicoSeq	20	800	10	abundant	time
limma_voom	20	800	10	abundant	time
DESeq2	20	800	10	abundant	time
Corncob	20	800	10	abundant	time
MaAsLin2	20	800	10	abundant	time
AAnew	50	800	10	abundant	time
wilcox	50	800	10	abundant	time
LinDA	50	800	10	abundant	time
MetagenomeSeq	50	800	10	abundant	time
LEfSe	50	800	10	abundant	time
edgeR	50	800	10	abundant	time
ALDEx2_wi	50	800	10	abundant	time
fastANCOM	50	800	10	abundant	time
DACOMP	50	800	10	abundant	time
ZicoSeq	50	800	10	abundant	time
limma_voom	50	800	10	abundant	time
DESeq2	50	800	10	abundant	time
Corncob	50	800	10	abundant	time
MaAsLin2	50	800	10	abundant	time
AAnew	100	800	10	abundant	time
wilcox	100	800	10	abundant	time
LinDA	100	800	10	abundant	time
MetagenomeSeq	100	800	10	abundant	time
LEfSe	100	800	10	abundant	time
edgeR	100	800	10	abundant	time
ALDEx2_wi	100	800	10	abundant	time
fastANCOM	100	800	10	abundant	time
DACOMP	100	800	10	abundant	time
ZicoSeq	100	800	10	abundant	time
limma_voom	100	800	10	abundant	time
DESeq2	100	800	10	abundant	time
Corncob	100	800	10	abundant	time
MaAsLin2	100	800	10	abundant	time
AAnew	200	800	10	abundant	time
wilcox	200	800	10	abundant	time
LinDA	200	800	10	abundant	time
MetagenomeSeq	200	800	10	abundant	time
LEfSe	200	800	10	abundant	time
edgeR	200	800	10	abundant	time
ALDEx2_wi	200	800	10	abundant	time
fastANCOM	200	800	10	abundant	time
DACOMP	200	800	10	abundant	time
ZicoSeq	200	800	10	abundant	time
limma_voom	200	800	10	abundant	time
DESeq2	200	800	10	abundant	time
Corncob	200	800	10	abundant	time
MaAsLin2	200	800	10	abundant	time
AAnew	300	800	10	abundant	time
wilcox	300	800	10	abundant	time
LinDA	300	800	10	abundant	time
MetagenomeSeq	300	800	10	abundant	time
LEfSe	300	800	10	abundant	time
edgeR	300	800	10	abundant	time
ALDEx2_wi	300	800	10	abundant	time
fastANCOM	300	800	10	abundant	time
DACOMP	300	800	10	abundant	time
ZicoSeq	300	800	10	abundant	time
limma_voom	300	800	10	abundant	time
DESeq2	300	800	10	abundant	time
Corncob	300	800	10	abundant	time
MaAsLin2	300	800	10	abundant	time
AAnew	500	800	10	abundant	time
wilcox	500	800	10	abundant	time
LinDA	500	800	10	abundant	time
MetagenomeSeq	500	800	10	abundant	time
LEfSe	500	800	10	abundant	time
edgeR	500	800	10	abundant	time
ALDEx2_wi	500	800	10	abundant	time
fastANCOM	500	800	10	abundant	time
DACOMP	500	800	10	abundant	time
ZicoSeq	500	800	10	abundant	time
limma_voom	500	800	10	abundant	time
DESeq2	500	800	10	abundant	time
Corncob	500	800	10	abundant	time
MaAsLin2	500	800	10	abundant	time
AAnew	20	800	1	rare	time
wilcox	20	800	1	rare	time
LinDA	20	800	1	rare	time
MetagenomeSeq	20	800	1	rare	time
LEfSe	20	800	1	rare	time
edgeR	20	800	1	rare	time
ALDEx2_wi	20	800	1	rare	time
fastANCOM	20	800	1	rare	time
DACOMP	20	800	1	rare	time
ZicoSeq	20	800	1	rare	time
limma_voom	20	800	1	rare	time
DESeq2	20	800	1	rare	time
Corncob	20	800	1	rare	time
MaAsLin2	20	800	1	rare	time
AAnew	50	800	1	rare	time
wilcox	50	800	1	rare	time
LinDA	50	800	1	rare	time
MetagenomeSeq	50	800	1	rare	time
LEfSe	50	800	1	rare	time
edgeR	50	800	1	rare	time
ALDEx2_wi	50	800	1	rare	time
fastANCOM	50	800	1	rare	time
DACOMP	50	800	1	rare	time
ZicoSeq	50	800	1	rare	time
limma_voom	50	800	1	rare	time
DESeq2	50	800	1	rare	time
Corncob	50	800	1	rare	time
MaAsLin2	50	800	1	rare	time
AAnew	100	800	1	rare	time
wilcox	100	800	1	rare	time
LinDA	100	800	1	rare	time
MetagenomeSeq	100	800	1	rare	time
LEfSe	100	800	1	rare	time
edgeR	100	800	1	rare	time
ALDEx2_wi	100	800	1	rare	time
fastANCOM	100	800	1	rare	time
DACOMP	100	800	1	rare	time
ZicoSeq	100	800	1	rare	time
limma_voom	100	800	1	rare	time
DESeq2	100	800	1	rare	time
Corncob	100	800	1	rare	time
MaAsLin2	100	800	1	rare	time
AAnew	200	800	1	rare	time
wilcox	200	800	1	rare	time
LinDA	200	800	1	rare	time
MetagenomeSeq	200	800	1	rare	time
LEfSe	200	800	1	rare	time
edgeR	200	800	1	rare	time
ALDEx2_wi	200	800	1	rare	time
fastANCOM	200	800	1	rare	time
DACOMP	200	800	1	rare	time
ZicoSeq	200	800	1	rare	time
limma_voom	200	800	1	rare	time
DESeq2	200	800	1	rare	time
Corncob	200	800	1	rare	time
MaAsLin2	200	800	1	rare	time
AAnew	300	800	1	rare	time
wilcox	300	800	1	rare	time
LinDA	300	800	1	rare	time
MetagenomeSeq	300	800	1	rare	time
LEfSe	300	800	1	rare	time
edgeR	300	800	1	rare	time
ALDEx2_wi	300	800	1	rare	time
fastANCOM	300	800	1	rare	time
DACOMP	300	800	1	rare	time
ZicoSeq	300	800	1	rare	time
limma_voom	300	800	1	rare	time
DESeq2	300	800	1	rare	time
Corncob	300	800	1	rare	time
MaAsLin2	300	800	1	rare	time
AAnew	500	800	1	rare	time
wilcox	500	800	1	rare	time
LinDA	500	800	1	rare	time
MetagenomeSeq	500	800	1	rare	time
LEfSe	500	800	1	rare	time
edgeR	500	800	1	rare	time
ALDEx2_wi	500	800	1	rare	time
fastANCOM	500	800	1	rare	time
DACOMP	500	800	1	rare	time
ZicoSeq	500	800	1	rare	time
limma_voom	500	800	1	rare	time
DESeq2	500	800	1	rare	time
Corncob	500	800	1	rare	time
MaAsLin2	500	800	1	rare	time
AAnew	20	800	2	rare	time
wilcox	20	800	2	rare	time
LinDA	20	800	2	rare	time
MetagenomeSeq	20	800	2	rare	time
LEfSe	20	800	2	rare	time
edgeR	20	800	2	rare	time
ALDEx2_wi	20	800	2	rare	time
fastANCOM	20	800	2	rare	time
DACOMP	20	800	2	rare	time
ZicoSeq	20	800	2	rare	time
limma_voom	20	800	2	rare	time
DESeq2	20	800	2	rare	time
Corncob	20	800	2	rare	time
MaAsLin2	20	800	2	rare	time
AAnew	50	800	2	rare	time
wilcox	50	800	2	rare	time
LinDA	50	800	2	rare	time
MetagenomeSeq	50	800	2	rare	time
LEfSe	50	800	2	rare	time
edgeR	50	800	2	rare	time
ALDEx2_wi	50	800	2	rare	time
fastANCOM	50	800	2	rare	time
DACOMP	50	800	2	rare	time
ZicoSeq	50	800	2	rare	time
limma_voom	50	800	2	rare	time
DESeq2	50	800	2	rare	time
Corncob	50	800	2	rare	time
MaAsLin2	50	800	2	rare	time
AAnew	100	800	2	rare	time
wilcox	100	800	2	rare	time
LinDA	100	800	2	rare	time
MetagenomeSeq	100	800	2	rare	time
LEfSe	100	800	2	rare	time
edgeR	100	800	2	rare	time
ALDEx2_wi	100	800	2	rare	time
fastANCOM	100	800	2	rare	time
DACOMP	100	800	2	rare	time
ZicoSeq	100	800	2	rare	time
limma_voom	100	800	2	rare	time
DESeq2	100	800	2	rare	time
Corncob	100	800	2	rare	time
MaAsLin2	100	800	2	rare	time
AAnew	200	800	2	rare	time
wilcox	200	800	2	rare	time
LinDA	200	800	2	rare	time
MetagenomeSeq	200	800	2	rare	time
LEfSe	200	800	2	rare	time
edgeR	200	800	2	rare	time
ALDEx2_wi	200	800	2	rare	time
fastANCOM	200	800	2	rare	time
DACOMP	200	800	2	rare	time
ZicoSeq	200	800	2	rare	time
limma_voom	200	800	2	rare	time
DESeq2	200	800	2	rare	time
Corncob	200	800	2	rare	time
MaAsLin2	200	800	2	rare	time
AAnew	300	800	2	rare	time
wilcox	300	800	2	rare	time
LinDA	300	800	2	rare	time
MetagenomeSeq	300	800	2	rare	time
LEfSe	300	800	2	rare	time
edgeR	300	800	2	rare	time
ALDEx2_wi	300	800	2	rare	time
fastANCOM	300	800	2	rare	time
DACOMP	300	800	2	rare	time
ZicoSeq	300	800	2	rare	time
limma_voom	300	800	2	rare	time
DESeq2	300	800	2	rare	time
Corncob	300	800	2	rare	time
MaAsLin2	300	800	2	rare	time
AAnew	500	800	2	rare	time
wilcox	500	800	2	rare	time
LinDA	500	800	2	rare	time
MetagenomeSeq	500	800	2	rare	time
LEfSe	500	800	2	rare	time
edgeR	500	800	2	rare	time
ALDEx2_wi	500	800	2	rare	time
fastANCOM	500	800	2	rare	time
DACOMP	500	800	2	rare	time
ZicoSeq	500	800	2	rare	time
limma_voom	500	800	2	rare	time
DESeq2	500	800	2	rare	time
Corncob	500	800	2	rare	time
MaAsLin2	500	800	2	rare	time
AAnew	20	800	5	rare	time
wilcox	20	800	5	rare	time
LinDA	20	800	5	rare	time
MetagenomeSeq	20	800	5	rare	time
LEfSe	20	800	5	rare	time
edgeR	20	800	5	rare	time
ALDEx2_wi	20	800	5	rare	time
fastANCOM	20	800	5	rare	time
DACOMP	20	800	5	rare	time
ZicoSeq	20	800	5	rare	time
limma_voom	20	800	5	rare	time
DESeq2	20	800	5	rare	time
Corncob	20	800	5	rare	time
MaAsLin2	20	800	5	rare	time
AAnew	50	800	5	rare	time
wilcox	50	800	5	rare	time
LinDA	50	800	5	rare	time
MetagenomeSeq	50	800	5	rare	time
LEfSe	50	800	5	rare	time
edgeR	50	800	5	rare	time
ALDEx2_wi	50	800	5	rare	time
fastANCOM	50	800	5	rare	time
DACOMP	50	800	5	rare	time
ZicoSeq	50	800	5	rare	time
limma_voom	50	800	5	rare	time
DESeq2	50	800	5	rare	time
Corncob	50	800	5	rare	time
MaAsLin2	50	800	5	rare	time
AAnew	100	800	5	rare	time
wilcox	100	800	5	rare	time
LinDA	100	800	5	rare	time
MetagenomeSeq	100	800	5	rare	time
LEfSe	100	800	5	rare	time
edgeR	100	800	5	rare	time
ALDEx2_wi	100	800	5	rare	time
fastANCOM	100	800	5	rare	time
DACOMP	100	800	5	rare	time
ZicoSeq	100	800	5	rare	time
limma_voom	100	800	5	rare	time
DESeq2	100	800	5	rare	time
Corncob	100	800	5	rare	time
MaAsLin2	100	800	5	rare	time
AAnew	200	800	5	rare	time
wilcox	200	800	5	rare	time
LinDA	200	800	5	rare	time
MetagenomeSeq	200	800	5	rare	time
LEfSe	200	800	5	rare	time
edgeR	200	800	5	rare	time
ALDEx2_wi	200	800	5	rare	time
fastANCOM	200	800	5	rare	time
DACOMP	200	800	5	rare	time
ZicoSeq	200	800	5	rare	time
limma_voom	200	800	5	rare	time
DESeq2	200	800	5	rare	time
Corncob	200	800	5	rare	time
MaAsLin2	200	800	5	rare	time
AAnew	300	800	5	rare	time
wilcox	300	800	5	rare	time
LinDA	300	800	5	rare	time
MetagenomeSeq	300	800	5	rare	time
LEfSe	300	800	5	rare	time
edgeR	300	800	5	rare	time
ALDEx2_wi	300	800	5	rare	time
fastANCOM	300	800	5	rare	time
DACOMP	300	800	5	rare	time
ZicoSeq	300	800	5	rare	time
limma_voom	300	800	5	rare	time
DESeq2	300	800	5	rare	time
Corncob	300	800	5	rare	time
MaAsLin2	300	800	5	rare	time
AAnew	500	800	5	rare	time
wilcox	500	800	5	rare	time
LinDA	500	800	5	rare	time
MetagenomeSeq	500	800	5	rare	time
LEfSe	500	800	5	rare	time
edgeR	500	800	5	rare	time
ALDEx2_wi	500	800	5	rare	time
fastANCOM	500	800	5	rare	time
DACOMP	500	800	5	rare	time
ZicoSeq	500	800	5	rare	time
limma_voom	500	800	5	rare	time
DESeq2	500	800	5	rare	time
Corncob	500	800	5	rare	time
MaAsLin2	500	800	5	rare	time
AAnew	20	800	10	rare	time
wilcox	20	800	10	rare	time
LinDA	20	800	10	rare	time
MetagenomeSeq	20	800	10	rare	time
LEfSe	20	800	10	rare	time
edgeR	20	800	10	rare	time
ALDEx2_wi	20	800	10	rare	time
fastANCOM	20	800	10	rare	time
DACOMP	20	800	10	rare	time
ZicoSeq	20	800	10	rare	time
limma_voom	20	800	10	rare	time
DESeq2	20	800	10	rare	time
Corncob	20	800	10	rare	time
MaAsLin2	20	800	10	rare	time
AAnew	50	800	10	rare	time
wilcox	50	800	10	rare	time
LinDA	50	800	10	rare	time
MetagenomeSeq	50	800	10	rare	time
LEfSe	50	800	10	rare	time
edgeR	50	800	10	rare	time
ALDEx2_wi	50	800	10	rare	time
fastANCOM	50	800	10	rare	time
DACOMP	50	800	10	rare	time
ZicoSeq	50	800	10	rare	time
limma_voom	50	800	10	rare	time
DESeq2	50	800	10	rare	time
Corncob	50	800	10	rare	time
MaAsLin2	50	800	10	rare	time
AAnew	100	800	10	rare	time
wilcox	100	800	10	rare	time
LinDA	100	800	10	rare	time
MetagenomeSeq	100	800	10	rare	time
LEfSe	100	800	10	rare	time
edgeR	100	800	10	rare	time
ALDEx2_wi	100	800	10	rare	time
fastANCOM	100	800	10	rare	time
DACOMP	100	800	10	rare	time
ZicoSeq	100	800	10	rare	time
limma_voom	100	800	10	rare	time
DESeq2	100	800	10	rare	time
Corncob	100	800	10	rare	time
MaAsLin2	100	800	10	rare	time
AAnew	200	800	10	rare	time
wilcox	200	800	10	rare	time
LinDA	200	800	10	rare	time
MetagenomeSeq	200	800	10	rare	time
LEfSe	200	800	10	rare	time
edgeR	200	800	10	rare	time
ALDEx2_wi	200	800	10	rare	time
fastANCOM	200	800	10	rare	time
DACOMP	200	800	10	rare	time
ZicoSeq	200	800	10	rare	time
limma_voom	200	800	10	rare	time
DESeq2	200	800	10	rare	time
Corncob	200	800	10	rare	time
MaAsLin2	200	800	10	rare	time
AAnew	300	800	10	rare	time
wilcox	300	800	10	rare	time
LinDA	300	800	10	rare	time
MetagenomeSeq	300	800	10	rare	time
LEfSe	300	800	10	rare	time
edgeR	300	800	10	rare	time
ALDEx2_wi	300	800	10	rare	time
fastANCOM	300	800	10	rare	time
DACOMP	300	800	10	rare	time
ZicoSeq	300	800	10	rare	time
limma_voom	300	800	10	rare	time
DESeq2	300	800	10	rare	time
Corncob	300	800	10	rare	time
MaAsLin2	300	800	10	rare	time
AAnew	500	800	10	rare	time
wilcox	500	800	10	rare	time
LinDA	500	800	10	rare	time
MetagenomeSeq	500	800	10	rare	time
LEfSe	500	800	10	rare	time
edgeR	500	800	10	rare	time
ALDEx2_wi	500	800	10	rare	time
fastANCOM	500	800	10	rare	time
DACOMP	500	800	10	rare	time
ZicoSeq	500	800	10	rare	time
limma_voom	500	800	10	rare	time
DESeq2	500	800	10	rare	time
Corncob	500	800	10	rare	time
MaAsLin2	500	800	10	rare	time
AAnew	20	800	1	mix	time
wilcox	20	800	1	mix	time
LinDA	20	800	1	mix	time
MetagenomeSeq	20	800	1	mix	time
LEfSe	20	800	1	mix	time
edgeR	20	800	1	mix	time
ALDEx2_wi	20	800	1	mix	time
fastANCOM	20	800	1	mix	time
DACOMP	20	800	1	mix	time
ZicoSeq	20	800	1	mix	time
limma_voom	20	800	1	mix	time
DESeq2	20	800	1	mix	time
Corncob	20	800	1	mix	time
MaAsLin2	20	800	1	mix	time
AAnew	50	800	1	mix	time
wilcox	50	800	1	mix	time
LinDA	50	800	1	mix	time
MetagenomeSeq	50	800	1	mix	time
LEfSe	50	800	1	mix	time
edgeR	50	800	1	mix	time
ALDEx2_wi	50	800	1	mix	time
fastANCOM	50	800	1	mix	time
DACOMP	50	800	1	mix	time
ZicoSeq	50	800	1	mix	time
limma_voom	50	800	1	mix	time
DESeq2	50	800	1	mix	time
Corncob	50	800	1	mix	time
MaAsLin2	50	800	1	mix	time
AAnew	100	800	1	mix	time
wilcox	100	800	1	mix	time
LinDA	100	800	1	mix	time
MetagenomeSeq	100	800	1	mix	time
LEfSe	100	800	1	mix	time
edgeR	100	800	1	mix	time
ALDEx2_wi	100	800	1	mix	time
fastANCOM	100	800	1	mix	time
DACOMP	100	800	1	mix	time
ZicoSeq	100	800	1	mix	time
limma_voom	100	800	1	mix	time
DESeq2	100	800	1	mix	time
Corncob	100	800	1	mix	time
MaAsLin2	100	800	1	mix	time
AAnew	200	800	1	mix	time
wilcox	200	800	1	mix	time
LinDA	200	800	1	mix	time
MetagenomeSeq	200	800	1	mix	time
LEfSe	200	800	1	mix	time
edgeR	200	800	1	mix	time
ALDEx2_wi	200	800	1	mix	time
fastANCOM	200	800	1	mix	time
DACOMP	200	800	1	mix	time
ZicoSeq	200	800	1	mix	time
limma_voom	200	800	1	mix	time
DESeq2	200	800	1	mix	time
Corncob	200	800	1	mix	time
MaAsLin2	200	800	1	mix	time
AAnew	300	800	1	mix	time
wilcox	300	800	1	mix	time
LinDA	300	800	1	mix	time
MetagenomeSeq	300	800	1	mix	time
LEfSe	300	800	1	mix	time
edgeR	300	800	1	mix	time
ALDEx2_wi	300	800	1	mix	time
fastANCOM	300	800	1	mix	time
DACOMP	300	800	1	mix	time
ZicoSeq	300	800	1	mix	time
limma_voom	300	800	1	mix	time
DESeq2	300	800	1	mix	time
Corncob	300	800	1	mix	time
MaAsLin2	300	800	1	mix	time
AAnew	500	800	1	mix	time
wilcox	500	800	1	mix	time
LinDA	500	800	1	mix	time
MetagenomeSeq	500	800	1	mix	time
LEfSe	500	800	1	mix	time
edgeR	500	800	1	mix	time
ALDEx2_wi	500	800	1	mix	time
fastANCOM	500	800	1	mix	time
DACOMP	500	800	1	mix	time
ZicoSeq	500	800	1	mix	time
limma_voom	500	800	1	mix	time
DESeq2	500	800	1	mix	time
Corncob	500	800	1	mix	time
MaAsLin2	500	800	1	mix	time
AAnew	20	800	2	mix	time
wilcox	20	800	2	mix	time
LinDA	20	800	2	mix	time
MetagenomeSeq	20	800	2	mix	time
LEfSe	20	800	2	mix	time
edgeR	20	800	2	mix	time
ALDEx2_wi	20	800	2	mix	time
fastANCOM	20	800	2	mix	time
DACOMP	20	800	2	mix	time
ZicoSeq	20	800	2	mix	time
limma_voom	20	800	2	mix	time
DESeq2	20	800	2	mix	time
Corncob	20	800	2	mix	time
MaAsLin2	20	800	2	mix	time
AAnew	50	800	2	mix	time
wilcox	50	800	2	mix	time
LinDA	50	800	2	mix	time
MetagenomeSeq	50	800	2	mix	time
LEfSe	50	800	2	mix	time
edgeR	50	800	2	mix	time
ALDEx2_wi	50	800	2	mix	time
fastANCOM	50	800	2	mix	time
DACOMP	50	800	2	mix	time
ZicoSeq	50	800	2	mix	time
limma_voom	50	800	2	mix	time
DESeq2	50	800	2	mix	time
Corncob	50	800	2	mix	time
MaAsLin2	50	800	2	mix	time
AAnew	100	800	2	mix	time
wilcox	100	800	2	mix	time
LinDA	100	800	2	mix	time
MetagenomeSeq	100	800	2	mix	time
LEfSe	100	800	2	mix	time
edgeR	100	800	2	mix	time
ALDEx2_wi	100	800	2	mix	time
fastANCOM	100	800	2	mix	time
DACOMP	100	800	2	mix	time
ZicoSeq	100	800	2	mix	time
limma_voom	100	800	2	mix	time
DESeq2	100	800	2	mix	time
Corncob	100	800	2	mix	time
MaAsLin2	100	800	2	mix	time
AAnew	200	800	2	mix	time
wilcox	200	800	2	mix	time
LinDA	200	800	2	mix	time
MetagenomeSeq	200	800	2	mix	time
LEfSe	200	800	2	mix	time
edgeR	200	800	2	mix	time
ALDEx2_wi	200	800	2	mix	time
fastANCOM	200	800	2	mix	time
DACOMP	200	800	2	mix	time
ZicoSeq	200	800	2	mix	time
limma_voom	200	800	2	mix	time
DESeq2	200	800	2	mix	time
Corncob	200	800	2	mix	time
MaAsLin2	200	800	2	mix	time
AAnew	300	800	2	mix	time
wilcox	300	800	2	mix	time
LinDA	300	800	2	mix	time
MetagenomeSeq	300	800	2	mix	time
LEfSe	300	800	2	mix	time
edgeR	300	800	2	mix	time
ALDEx2_wi	300	800	2	mix	time
fastANCOM	300	800	2	mix	time
DACOMP	300	800	2	mix	time
ZicoSeq	300	800	2	mix	time
limma_voom	300	800	2	mix	time
DESeq2	300	800	2	mix	time
Corncob	300	800	2	mix	time
MaAsLin2	300	800	2	mix	time
AAnew	500	800	2	mix	time
wilcox	500	800	2	mix	time
LinDA	500	800	2	mix	time
MetagenomeSeq	500	800	2	mix	time
LEfSe	500	800	2	mix	time
edgeR	500	800	2	mix	time
ALDEx2_wi	500	800	2	mix	time
fastANCOM	500	800	2	mix	time
DACOMP	500	800	2	mix	time
ZicoSeq	500	800	2	mix	time
limma_voom	500	800	2	mix	time
DESeq2	500	800	2	mix	time
Corncob	500	800	2	mix	time
MaAsLin2	500	800	2	mix	time
AAnew	20	800	5	mix	time
wilcox	20	800	5	mix	time
LinDA	20	800	5	mix	time
MetagenomeSeq	20	800	5	mix	time
LEfSe	20	800	5	mix	time
edgeR	20	800	5	mix	time
ALDEx2_wi	20	800	5	mix	time
fastANCOM	20	800	5	mix	time
DACOMP	20	800	5	mix	time
ZicoSeq	20	800	5	mix	time
limma_voom	20	800	5	mix	time
DESeq2	20	800	5	mix	time
Corncob	20	800	5	mix	time
MaAsLin2	20	800	5	mix	time
AAnew	50	800	5	mix	time
wilcox	50	800	5	mix	time
LinDA	50	800	5	mix	time
MetagenomeSeq	50	800	5	mix	time
LEfSe	50	800	5	mix	time
edgeR	50	800	5	mix	time
ALDEx2_wi	50	800	5	mix	time
fastANCOM	50	800	5	mix	time
DACOMP	50	800	5	mix	time
ZicoSeq	50	800	5	mix	time
limma_voom	50	800	5	mix	time
DESeq2	50	800	5	mix	time
Corncob	50	800	5	mix	time
MaAsLin2	50	800	5	mix	time
AAnew	100	800	5	mix	time
wilcox	100	800	5	mix	time
LinDA	100	800	5	mix	time
MetagenomeSeq	100	800	5	mix	time
LEfSe	100	800	5	mix	time
edgeR	100	800	5	mix	time
ALDEx2_wi	100	800	5	mix	time
fastANCOM	100	800	5	mix	time
DACOMP	100	800	5	mix	time
ZicoSeq	100	800	5	mix	time
limma_voom	100	800	5	mix	time
DESeq2	100	800	5	mix	time
Corncob	100	800	5	mix	time
MaAsLin2	100	800	5	mix	time
AAnew	200	800	5	mix	time
wilcox	200	800	5	mix	time
LinDA	200	800	5	mix	time
MetagenomeSeq	200	800	5	mix	time
LEfSe	200	800	5	mix	time
edgeR	200	800	5	mix	time
ALDEx2_wi	200	800	5	mix	time
fastANCOM	200	800	5	mix	time
DACOMP	200	800	5	mix	time
ZicoSeq	200	800	5	mix	time
limma_voom	200	800	5	mix	time
DESeq2	200	800	5	mix	time
Corncob	200	800	5	mix	time
MaAsLin2	200	800	5	mix	time
AAnew	300	800	5	mix	time
wilcox	300	800	5	mix	time
LinDA	300	800	5	mix	time
MetagenomeSeq	300	800	5	mix	time
LEfSe	300	800	5	mix	time
edgeR	300	800	5	mix	time
ALDEx2_wi	300	800	5	mix	time
fastANCOM	300	800	5	mix	time
DACOMP	300	800	5	mix	time
ZicoSeq	300	800	5	mix	time
limma_voom	300	800	5	mix	time
DESeq2	300	800	5	mix	time
Corncob	300	800	5	mix	time
MaAsLin2	300	800	5	mix	time
AAnew	500	800	5	mix	time
wilcox	500	800	5	mix	time
LinDA	500	800	5	mix	time
MetagenomeSeq	500	800	5	mix	time
LEfSe	500	800	5	mix	time
edgeR	500	800	5	mix	time
ALDEx2_wi	500	800	5	mix	time
fastANCOM	500	800	5	mix	time
DACOMP	500	800	5	mix	time
ZicoSeq	500	800	5	mix	time
limma_voom	500	800	5	mix	time
DESeq2	500	800	5	mix	time
Corncob	500	800	5	mix	time
MaAsLin2	500	800	5	mix	time
AAnew	20	800	10	mix	time
wilcox	20	800	10	mix	time
LinDA	20	800	10	mix	time
MetagenomeSeq	20	800	10	mix	time
LEfSe	20	800	10	mix	time
edgeR	20	800	10	mix	time
ALDEx2_wi	20	800	10	mix	time
fastANCOM	20	800	10	mix	time
DACOMP	20	800	10	mix	time
ZicoSeq	20	800	10	mix	time
limma_voom	20	800	10	mix	time
DESeq2	20	800	10	mix	time
Corncob	20	800	10	mix	time
MaAsLin2	20	800	10	mix	time
AAnew	50	800	10	mix	time
wilcox	50	800	10	mix	time
LinDA	50	800	10	mix	time
MetagenomeSeq	50	800	10	mix	time
LEfSe	50	800	10	mix	time
edgeR	50	800	10	mix	time
ALDEx2_wi	50	800	10	mix	time
fastANCOM	50	800	10	mix	time
DACOMP	50	800	10	mix	time
ZicoSeq	50	800	10	mix	time
limma_voom	50	800	10	mix	time
DESeq2	50	800	10	mix	time
Corncob	50	800	10	mix	time
MaAsLin2	50	800	10	mix	time
AAnew	100	800	10	mix	time
wilcox	100	800	10	mix	time
LinDA	100	800	10	mix	time
MetagenomeSeq	100	800	10	mix	time
LEfSe	100	800	10	mix	time
edgeR	100	800	10	mix	time
ALDEx2_wi	100	800	10	mix	time
fastANCOM	100	800	10	mix	time
DACOMP	100	800	10	mix	time
ZicoSeq	100	800	10	mix	time
limma_voom	100	800	10	mix	time
DESeq2	100	800	10	mix	time
Corncob	100	800	10	mix	time
MaAsLin2	100	800	10	mix	time
AAnew	200	800	10	mix	time
wilcox	200	800	10	mix	time
LinDA	200	800	10	mix	time
MetagenomeSeq	200	800	10	mix	time
LEfSe	200	800	10	mix	time
edgeR	200	800	10	mix	time
ALDEx2_wi	200	800	10	mix	time
